sample_id,source_sample_id,true_label,source,dm,peak_sigma,peak_time_s,peak_sigma_matched,peak_time_matched_s
sample_000284,FRB20121102_0285,FRB,FRB20121102,566.0,8.13,0.3539,8.13,0.3539
sample_000285,FRB20121102_0286,FRB,FRB20121102,567.9,3.91,0.3539,3.91,0.3539
sample_000286,FRB20121102_0287,FRB,FRB20121102,566.9,7.57,0.3539,7.57,0.3539
sample_000287,FRB20121102_0288,FRB,FRB20121102,567.8,8.08,0.3519,8.08,0.3519
sample_000288,FRB20121102_0289,FRB,FRB20121102,566.7,10.11,0.5741,10.11,0.5741
sample_000289,FRB20121102_0290,FRB,FRB20121102,565.4,21.72,0.3539,21.72,0.3539
sample_000290,FRB20121102_0291,FRB,FRB20121102,565.0,9.17,0.3559,9.17,0.3559
sample_000291,FRB20121102_0292,FRB,FRB20121102,563.6,6.61,0.3598,6.61,0.3598
sample_000292,FRB20121102_0293,FRB,FRB20121102,566.0,20.95,0.3539,20.95,0.3539
sample_000293,FRB20121102_0294,FRB,FRB20121102,567.9,6.1,0.3539,6.1,0.3539
sample_000294,FRB20121102_0295,FRB,FRB20121102,567.1,9.59,0.3539,9.59,0.3539
sample_000295,FRB20121102_0296,FRB,FRB20121102,566.9,7.94,0.3539,7.94,0.3539
sample_000296,FRB20121102_0297,FRB,FRB20121102,565.9,12.72,0.3559,12.72,0.3559
sample_000297,FRB20121102_0298,FRB,FRB20121102,566.0,36.97,0.3559,36.97,0.3559
sample_000298,FRB20121102_0299,FRB,FRB20121102,568.5,7.8,0.2359,7.8,0.2359
sample_000299,FRB20121102_0300,FRB,FRB20121102,568.5,5.77,0.3559,5.77,0.3559
sample_000300,FRB20121102_0301,FRB,FRB20121102,563.7,7.53,0.3598,7.53,0.3598
sample_000301,FRB20121102_0302,FRB,FRB20121102,564.3,6.43,0.3578,6.43,0.3578
sample_000302,FRB20121102_0303,FRB,FRB20121102,562.3,10.89,0.3637,10.89,0.3637
sample_000303,FRB20121102_0304,FRB,FRB20121102,564.6,21.96,0.1219,21.96,0.1219
sample_000304,FRB20121102_0305,FRB,FRB20121102,566.2,11.92,0.3539,11.92,0.3539
sample_000305,FRB20121102_0306,FRB,FRB20121102,566.3,5.99,0.3559,5.99,0.3559
sample_000306,FRB20121102_0307,FRB,FRB20121102,563.3,11.6,0.3618,11.6,0.3618
sample_000307,FRB20121102_0308,FRB,FRB20121102,566.3,3.74,0.35,3.74,0.35
sample_000308,FRB20121102_0309,FRB,FRB20121102,569.8,4.71,0.5603,4.71,0.5603
sample_000309,FRB20121102_0310,FRB,FRB20121102,568.8,5.04,0.4365,5.04,0.4365
sample_000310,FRB20121102_0311,FRB,FRB20121102,566.0,8.02,0.1062,8.02,0.1062
sample_000311,FRB20121102_0312,FRB,FRB20121102,568.9,9.31,0.3519,9.31,0.3519
sample_000312,FRB20121102_0313,FRB,FRB20121102,566.0,14.28,0.3559,14.28,0.3559
sample_000313,FRB20121102_0314,FRB,FRB20121102,565.3,25.86,0.3559,25.86,0.3559
sample_000314,FRB20121102_0315,FRB,FRB20121102,566.2,7.64,0.3559,7.64,0.3559
sample_000315,FRB20121102_0316,FRB,FRB20121102,566.0,6.71,0.3539,6.71,0.3539
sample_000316,FRB20121102_0317,FRB,FRB20121102,565.3,10.18,0.3932,10.18,0.3932
sample_000317,FRB20121102_0318,FRB,FRB20121102,566.0,9.16,0.3539,9.16,0.3539
sample_000318,FRB20121102_0319,FRB,FRB20121102,567.2,8.84,0.3519,8.84,0.3519
sample_000319,FRB20121102_0320,FRB,FRB20121102,566.0,7.18,0.3529,7.18,0.3529
sample_000320,FRB20121102_0321,FRB,FRB20121102,561.5,1.9,0.0285,1.9,0.0285
sample_000321,FRB20121102_0322,FRB,FRB20121102,564.4,11.45,0.405,11.45,0.405
sample_000322,FRB20121102_0323,FRB,FRB20121102,564.4,8.21,0.3578,8.21,0.3578
sample_000323,FRB20121102_0324,FRB,FRB20121102,564.5,8.77,0.3578,8.77,0.3578
sample_000324,FRB20121102_0325,FRB,FRB20121102,566.1,9.06,0.3539,9.06,0.3539
sample_000325,FRB20121102_0326,FRB,FRB20121102,565.1,3.25,0.3559,3.25,0.3559
sample_000326,FRB20121102_0327,FRB,FRB20121102,564.2,7.54,0.3578,7.54,0.3578
sample_000327,FRB20121102_0328,FRB,FRB20121102,567.4,27.85,0.3598,27.85,0.3598
sample_000328,FRB20121102_0329,FRB,FRB20121102,555.4,6.26,0.3716,6.26,0.3716
sample_000329,FRB20121102_0330,FRB,FRB20121102,561.5,8.14,0.3657,8.14,0.3657
sample_000330,FRB20121102_0331,FRB,FRB20121102,565.1,9.2,0.3559,9.2,0.3559
sample_000331,FRB20121102_0332,FRB,FRB20121102,563.7,9.87,0.5702,9.87,0.5702
sample_000332,FRB20121102_0333,FRB,FRB20121102,566.6,6.7,0.3539,6.7,0.3539
sample_000333,FRB20121102_0334,FRB,FRB20121102,567.3,15.86,0.3519,15.86,0.3519
sample_000334,FRB20121102_0335,FRB,FRB20121102,566.5,43.94,0.3539,43.94,0.3539
sample_000335,FRB20121102_0336,FRB,FRB20121102,567.4,8.43,0.4335,8.43,0.4335
sample_000336,FRB20121102_0337,FRB,FRB20121102,565.9,4.16,0.3559,4.16,0.3559
sample_000337,FRB20121102_0338,FRB,FRB20121102,565.7,2.35,0.8248,2.35,0.8248
sample_000338,FRB20121102_0339,FRB,FRB20121102,566.4,13.47,0.3549,13.47,0.3549
sample_000339,FRB20121102_0340,FRB,FRB20121102,568.0,31.68,0.2969,31.68,0.2969
sample_000340,FRB20121102_0341,FRB,FRB20121102,565.2,7.75,0.35,7.75,0.35
sample_000341,FRB20121102_0342,FRB,FRB20121102,564.3,14.66,0.4345,14.66,0.4345
sample_000342,FRB20121102_0343,FRB,FRB20121102,564.4,8.72,0.3578,8.72,0.3578
sample_000343,FRB20121102_0344,FRB,FRB20121102,564.3,7.32,0.3578,7.32,0.3578
sample_000344,FRB20121102_0345,FRB,FRB20121102,563.4,6.07,0.0108,6.07,0.0108
sample_000345,FRB20121102_0346,FRB,FRB20121102,567.4,2.06,0.2998,2.06,0.2998
sample_000346,FRB20121102_0347,FRB,FRB20121102,567.1,7.41,0.3559,7.41,0.3559
sample_000347,FRB20121102_0348,FRB,FRB20121102,567.9,12.74,0.3598,12.74,0.3598
sample_000348,FRB20121102_0349,FRB,FRB20121102,564.7,7.18,0.3618,7.18,0.3618
sample_000349,FRB20121102_0350,FRB,FRB20121102,569.3,10.15,0.3519,10.15,0.3519
sample_000350,FRB20121102_0351,FRB,FRB20121102,567.7,4.54,0.3559,4.54,0.3559
sample_000351,FRB20121102_0352,FRB,FRB20121102,567.8,4.35,0.3598,4.35,0.3598
sample_000352,FRB20121102_0353,FRB,FRB20121102,567.1,22.3,0.35,22.3,0.35
sample_000353,FRB20121102_0354,FRB,FRB20121102,562.9,19.0,0.3637,19.0,0.3637
sample_000354,FRB20121102_0355,FRB,FRB20121102,568.0,4.08,0.3627,4.08,0.3627
sample_000355,FRB20121102_0356,FRB,FRB20121102,568.1,8.49,0.35,8.49,0.35
sample_000356,FRB20121102_0357,FRB,FRB20121102,567.6,5.58,0.3627,5.58,0.3627
sample_000357,FRB20121102_0358,FRB,FRB20121102,565.1,12.66,0.3657,12.66,0.3657
sample_000358,FRB20121102_0359,FRB,FRB20121102,566.0,16.54,0.3559,16.54,0.3559
sample_000359,FRB20121102_0360,FRB,FRB20121102,569.2,7.98,0.3578,7.98,0.3578
sample_000360,FRB20121102_0361,FRB,FRB20121102,566.7,11.06,0.3578,11.06,0.3578
sample_000361,FRB20121102_0362,FRB,FRB20121102,568.1,9.55,0.3578,9.55,0.3578
sample_000362,FRB20121102_0363,FRB,FRB20121102,566.5,8.13,0.3519,8.13,0.3519
sample_000363,FRB20121102_0364,FRB,FRB20121102,564.9,10.0,0.3657,10.0,0.3657
sample_000364,FRB20121102_0365,FRB,FRB20121102,566.7,5.27,0.3647,5.27,0.3647
sample_000365,FRB20121102_0366,FRB,FRB20121102,566.4,7.58,0.3618,7.58,0.3618
sample_000366,FRB20121102_0367,FRB,FRB20121102,561.9,3.93,0.3696,3.93,0.3696
sample_000367,FRB20121102_0368,FRB,FRB20121102,565.7,2.55,0.3539,2.55,0.3539
sample_000368,FRB20121102_0369,FRB,FRB20121102,565.2,3.73,0.3647,3.73,0.3647
sample_000369,FRB20121102_0370,FRB,FRB20121102,568.1,5.25,0.3539,5.25,0.3539
sample_000370,FRB20121102_0371,FRB,FRB20121102,568.5,6.66,0.3578,6.66,0.3578
sample_000371,FRB20121102_0372,FRB,FRB20121102,566.3,4.98,0.3578,4.98,0.3578
sample_000372,FRB20121102_0373,FRB,FRB20121102,564.7,5.71,0.3657,5.71,0.3657
sample_000373,FRB20121102_0374,FRB,FRB20121102,569.2,7.73,0.5957,7.73,0.5957
sample_000374,FRB20121102_0375,FRB,FRB20121102,566.2,7.68,0.3598,7.68,0.3598
sample_000375,FRB20121102_0376,FRB,FRB20121102,564.4,9.79,0.3657,9.79,0.3657
sample_000376,FRB20121102_0377,FRB,FRB20121102,566.0,4.79,0.2811,4.79,0.2811
sample_000377,FRB20121102_0378,FRB,FRB20121102,566.0,14.44,0.3549,14.44,0.3549
sample_000378,FRB20121102_0379,FRB,FRB20121102,566.0,12.25,0.3559,12.25,0.3559
sample_000379,FRB20121102_0380,FRB,FRB20121102,566.7,8.83,0.3539,8.83,0.3539
sample_000380,FRB20121102_0381,FRB,FRB20121102,565.1,4.95,0.3559,4.95,0.3559
sample_000381,FRB20121102_0382,FRB,FRB20121102,566.4,9.96,0.3539,9.96,0.3539
sample_000382,FRB20121102_0383,FRB,FRB20121102,566.2,11.61,0.3912,11.61,0.3912
sample_000383,FRB20121102_0384,FRB,FRB20121102,566.0,7.83,0.3559,7.83,0.3559
sample_000384,FRB20121102_0385,FRB,FRB20121102,566.0,3.14,0.3578,3.14,0.3578
sample_000385,FRB20121102_0386,FRB,FRB20121102,565.1,5.57,0.3578,5.57,0.3578
sample_000386,FRB20121102_0387,FRB,FRB20121102,565.7,5.75,0.5544,5.75,0.5544
sample_000387,FRB20121102_0388,FRB,FRB20121102,564.1,3.21,0.3598,3.21,0.3598
sample_000388,FRB20121102_0389,FRB,FRB20121102,566.1,23.62,0.3559,23.62,0.3559
sample_000389,FRB20121102_0390,FRB,FRB20121102,567.2,6.46,0.3559,6.46,0.3559
sample_000390,FRB20121102_0391,FRB,FRB20121102,566.1,10.13,0.3559,10.13,0.3559
sample_000391,FRB20121102_0392,FRB,FRB20121102,567.4,19.76,0.3519,19.76,0.3519
sample_000392,FRB20121102_0393,FRB,FRB20121102,567.3,14.43,0.3539,14.43,0.3539
sample_000393,FRB20121102_0394,FRB,FRB20121102,567.3,10.29,0.3539,10.29,0.3539
sample_000394,FRB20121102_0395,FRB,FRB20121102,564.4,5.72,0.3598,5.72,0.3598
sample_000395,FRB20121102_0396,FRB,FRB20121102,567.3,20.63,0.3519,20.63,0.3519
sample_000396,FRB20121102_0397,FRB,FRB20121102,565.9,15.6,0.3559,15.6,0.3559
sample_000397,FRB20121102_0398,FRB,FRB20121102,566.7,11.5,0.2025,11.5,0.2025
sample_000398,FRB20121102_0399,FRB,FRB20121102,565.8,12.76,0.3559,12.76,0.3559
sample_000399,FRB20121102_0400,FRB,FRB20121102,566.7,2.43,0.3509,2.43,0.3509
sample_000400,FRB20121102_0401,FRB,FRB20121102,566.4,9.53,0.3539,9.53,0.3539
sample_000401,FRB20121102_0402,FRB,FRB20121102,566.0,9.84,0.3559,9.84,0.3559
sample_000402,FRB20121102_0403,FRB,FRB20121102,567.0,7.73,0.3519,7.73,0.3519
sample_000403,FRB20121102_0404,FRB,FRB20121102,566.1,20.27,0.3559,20.27,0.3559
sample_000404,FRB20121102_0405,FRB,FRB20121102,566.1,14.83,0.3559,14.83,0.3559
sample_000405,FRB20121102_0406,FRB,FRB20121102,565.8,12.48,0.3539,12.48,0.3539
sample_000406,FRB20121102_0407,FRB,FRB20121102,564.9,14.96,0.3598,14.96,0.3598
sample_000407,FRB20121102_0408,FRB,FRB20121102,561.2,9.23,0.0688,9.23,0.0688
sample_000408,FRB20121102_0409,FRB,FRB20121102,567.9,9.6,0.35,9.6,0.35
sample_000409,FRB20121102_0410,FRB,FRB20121102,565.5,5.75,0.3578,5.75,0.3578
sample_000410,FRB20121102_0411,FRB,FRB20121102,566.9,8.7,0.3539,8.7,0.3539
sample_000411,FRB20121102_0412,FRB,FRB20121102,564.6,11.46,0.3588,11.46,0.3588
sample_000412,FRB20121102_0413,FRB,FRB20121102,568.0,26.43,0.3519,26.43,0.3519
sample_000413,FRB20121102_0414,FRB,FRB20121102,564.9,13.21,0.3578,13.21,0.3578
sample_000414,FRB20121102_0415,FRB,FRB20121102,565.4,9.08,0.5092,9.08,0.5092
sample_000415,FRB20121102_0416,FRB,FRB20121102,565.2,263.43,0.3559,263.43,0.3559
sample_000416,FRB20121102_0417,FRB,FRB20121102,568.0,6.15,0.35,6.15,0.35
sample_000417,FRB20121102_0418,FRB,FRB20121102,567.0,11.59,0.2851,11.59,0.2851
sample_000418,FRB20121102_0419,FRB,FRB20121102,564.8,3.5,0.3578,3.5,0.3578
sample_000419,FRB20121102_0420,FRB,FRB20121102,564.7,9.24,0.3559,9.24,0.3559
sample_000420,FRB20121102_0421,FRB,FRB20121102,567.2,7.51,0.3519,7.51,0.3519
sample_000421,FRB20121102_0422,FRB,FRB20121102,567.4,12.92,0.3519,12.92,0.3519
sample_000422,FRB20121102_0423,FRB,FRB20121102,566.1,8.24,0.3559,8.24,0.3559
sample_000423,FRB20121102_0424,FRB,FRB20121102,565.7,139.63,0.3559,139.63,0.3559
sample_000424,FRB20121102_0425,FRB,FRB20121102,566.6,6.92,0.35,6.92,0.35
sample_000425,FRB20121102_0426,FRB,FRB20121102,567.6,5.36,0.3519,5.36,0.3519
sample_000426,FRB20121102_0427,FRB,FRB20121102,567.6,15.73,0.35,15.73,0.35
sample_000427,FRB20121102_0428,FRB,FRB20121102,566.2,8.71,0.3559,8.71,0.3559
sample_000428,FRB20121102_0429,FRB,FRB20121102,566.0,7.15,0.3126,7.15,0.3126
sample_000429,FRB20121102_0430,FRB,FRB20121102,566.2,7.25,0.3539,7.25,0.3539
sample_000430,FRB20121102_0431,FRB,FRB20121102,569.0,4.24,0.3991,4.24,0.3991
sample_000431,FRB20121102_0432,FRB,FRB20121102,565.3,5.99,0.3568,5.99,0.3568
sample_000432,FRB20121102_0433,FRB,FRB20121102,568.0,16.01,0.3873,16.01,0.3873
sample_000433,FRB20121102_0434,FRB,FRB20121102,567.5,2.96,0.3509,2.96,0.3509
sample_000434,FRB20121102_0435,FRB,FRB20121102,564.2,9.54,0.3598,9.54,0.3598
sample_000435,FRB20121102_0436,FRB,FRB20121102,565.2,15.49,0.3578,15.49,0.3578
sample_000436,FRB20121102_0437,FRB,FRB20121102,567.1,27.18,0.2359,27.18,0.2359
sample_000437,FRB20121102_0438,FRB,FRB20121102,564.8,12.48,0.3568,12.48,0.3568
sample_000438,FRB20121102_0439,FRB,FRB20121102,570.0,6.89,0.348,6.89,0.348
sample_000439,FRB20121102_0440,FRB,FRB20121102,566.4,6.63,0.3519,6.63,0.3519
sample_000440,FRB20121102_0441,FRB,FRB20121102,564.3,13.48,0.3588,13.48,0.3588
sample_000441,FRB20121102_0442,FRB,FRB20121102,567.5,6.68,0.3519,6.68,0.3519
sample_000442,FRB20121102_0443,FRB,FRB20121102,570.0,7.85,0.4758,7.85,0.4758
sample_000443,FRB20121102_0444,FRB,FRB20121102,566.2,10.91,0.3559,10.91,0.3559
sample_000444,FRB20121102_0445,FRB,FRB20121102,566.5,14.1,0.3519,14.1,0.3519
sample_000445,FRB20121102_0446,FRB,FRB20121102,568.9,7.67,0.35,7.67,0.35
sample_000446,FRB20121102_0447,FRB,FRB20121102,566.0,4.16,0.3559,4.16,0.3559
sample_000447,FRB20121102_0448,FRB,FRB20121102,564.8,9.68,0.3598,9.68,0.3598
sample_000448,FRB20121102_0449,FRB,FRB20121102,565.8,22.23,0.3578,22.23,0.3578
sample_000449,FRB20121102_0450,FRB,FRB20121102,564.4,49.68,0.3588,49.68,0.3588
sample_000450,FRB20121102_0451,FRB,FRB20121102,565.4,13.61,0.3559,13.61,0.3559
sample_000451,FRB20121102_0452,FRB,FRB20121102,564.7,5.43,0.3578,5.43,0.3578
sample_000452,FRB20121102_0453,FRB,FRB20121102,565.1,7.73,0.3559,7.73,0.3559
sample_000453,FRB20121102_0454,FRB,FRB20121102,567.4,30.17,0.3519,30.17,0.3519
sample_000454,FRB20121102_0455,FRB,FRB20121102,566.3,26.56,0.3539,26.56,0.3539
sample_000455,FRB20121102_0456,FRB,FRB20121102,565.1,9.93,0.3559,9.93,0.3559
sample_000456,FRB20121102_0457,FRB,FRB20121102,564.6,18.36,0.3578,18.36,0.3578
sample_000457,FRB20121102_0458,FRB,FRB20121102,569.8,6.36,0.3146,6.36,0.3146
sample_000458,FRB20121102_0459,FRB,FRB20121102,569.2,23.45,0.35,23.45,0.35
sample_000459,FRB20121102_0460,FRB,FRB20121102,568.0,8.48,0.3598,8.48,0.3598
sample_000460,FRB20121102_0461,FRB,FRB20121102,563.6,15.2,0.3598,15.2,0.3598
sample_000461,FRB20121102_0462,FRB,FRB20121102,566.0,7.73,0.3559,7.73,0.3559
sample_000462,FRB20121102_0463,FRB,FRB20121102,567.4,13.72,0.35,13.72,0.35
sample_000463,FRB20121102_0464,FRB,FRB20121102,564.4,6.73,0.3578,6.73,0.3578
sample_000464,FRB20121102_0465,FRB,FRB20121102,564.4,19.45,0.3578,19.45,0.3578
sample_000465,FRB20121102_0466,FRB,FRB20121102,565.4,13.2,0.3539,13.2,0.3539
sample_000466,FRB20121102_0467,FRB,FRB20121102,564.7,6.64,0.3578,6.64,0.3578
sample_000467,FRB20121102_0468,FRB,FRB20121102,565.6,5.23,0.3568,5.23,0.3568
sample_000468,FRB20121102_0469,FRB,FRB20121102,567.6,5.54,0.3519,5.54,0.3519
sample_000469,FRB20121102_0470,FRB,FRB20121102,566.0,23.2,0.1455,23.2,0.1455
sample_000470,FRB20180301_0001,FRB,FRB20180301,517.8,6.51,0.4355,6.51,0.4355
sample_000471,FRB20180301_0002,FRB,FRB20180301,517.81,20.69,0.4306,20.69,0.4306
sample_000472,FRB20180301_0003,FRB,FRB20180301,518.0,4.8,0.4345,4.8,0.4345
sample_000473,FRB20180301_0004,FRB,FRB20180301,517.83,39.5,0.4306,39.5,0.4306
sample_000474,FRB20180301_0005,FRB,FRB20180301,517.9,18.99,0.4404,18.99,0.4404
sample_000475,FRB20201124_0001,FRB,FRB20201124,412.97,13.75,0.5328,13.75,0.5328
sample_000476,FRB20201124_0002,FRB,FRB20201124,412.97,22.59,0.5328,22.59,0.5328
sample_000477,FRB20201124_0003,FRB,FRB20201124,412.97,26.5,0.5318,26.5,0.5318
sample_000478,FRB20201124_0004,FRB,FRB20201124,412.97,16.43,0.5328,16.43,0.5328
sample_000479,FRB20201124_0005,FRB,FRB20201124,412.97,5.91,0.5328,5.91,0.5328
sample_000480,FRB20201124_0006,FRB,FRB20201124,412.97,623.9,0.4896,623.9,0.4896
sample_000481,FRB20201124_0007,FRB,FRB20201124,412.97,4.65,0.5308,4.65,0.5308
sample_000482,FRB20201124_0008,FRB,FRB20201124,412.97,863.31,0.7137,863.31,0.7137
sample_000483,FRB20201124_0009,FRB,FRB20201124,412.97,33.37,0.6999,33.37,0.6999
sample_000484,FRB20201124_0010,FRB,FRB20201124,412.18,29.16,0.5328,29.16,0.5328
sample_000485,FRB20201124_0011,FRB,FRB20201124,412.18,379.94,0.5053,379.94,0.5053
sample_000486,FRB20201124_0012,FRB,FRB20201124,412.18,73.98,0.5328,73.98,0.5328
sample_000487,FRB20201124_0013,FRB,FRB20201124,412.18,6.45,0.4443,6.45,0.4443
sample_000488,FRB20201124_0014,FRB,FRB20201124,412.18,3.41,0.5358,3.41,0.5358
sample_000489,FRB20201124_0015,FRB,FRB20201124,412.18,6.84,0.0649,6.84,0.0649
sample_000490,FRB20201124_0016,FRB,FRB20201124,412.18,16.05,0.5338,16.05,0.5338
sample_000491,FRB20201124_0017,FRB,FRB20201124,412.18,11.38,0.5348,11.38,0.5348
sample_000492,FRB20201124_0018,FRB,FRB20201124,411.51,3.93,0.9467,3.93,0.9467
sample_000493,FRB20201124_0019,FRB,FRB20201124,411.51,7.94,0.5358,7.94,0.5358
sample_000494,FRB20201124_0020,FRB,FRB20201124,411.51,7.32,0.5358,7.32,0.5358
sample_000495,FRB20201124_0021,FRB,FRB20201124,411.51,24.2,0.8002,24.2,0.8002
sample_000496,FRB20201124_0022,FRB,FRB20201124,411.51,99.89,0.5367,99.89,0.5367
sample_000497,FRB20201124_0023,FRB,FRB20201124,411.51,15.44,0.5367,15.44,0.5367
sample_000498,FRB20201124_0024,FRB,FRB20201124,411.51,36.57,0.5367,36.57,0.5367
sample_000499,FRB20201124_0025,FRB,FRB20201124,411.51,47.74,0.5348,47.74,0.5348
sample_000500,FRB20201124_0026,FRB,FRB20201124,411.51,9.41,0.5328,9.41,0.5328
sample_000501,FRB20201124_0027,FRB,FRB20201124,411.51,8.76,0.5367,8.76,0.5367
sample_000502,FRB20201124_0028,FRB,FRB20201124,411.51,73.46,0.5367,73.46,0.5367
sample_000503,FRB20201124_0029,FRB,FRB20201124,411.51,4.85,0.5358,4.85,0.5358
sample_000504,FRB20201124_0030,FRB,FRB20201124,411.51,6.6,0.5367,6.6,0.5367
sample_000505,FRB20201124_0031,FRB,FRB20201124,411.51,28.33,0.9054,28.33,0.9054
sample_000506,FRB20201124_0032,FRB,FRB20201124,411.51,4.74,0.5387,4.74,0.5387
sample_000507,FRB20201124_0033,FRB,FRB20201124,411.51,15.71,0.5367,15.71,0.5367
sample_000508,FRB20201124_0034,FRB,FRB20201124,411.51,190.15,0.5367,190.15,0.5367
sample_000509,FRB20201124_0035,FRB,FRB20201124,411.51,4.98,0.5358,4.98,0.5358
sample_000510,FRB20201124_0036,FRB,FRB20201124,411.51,12.9,0.5358,12.9,0.5358
sample_000511,FRB20201124_0037,FRB,FRB20201124,411.51,415.92,0.5348,415.92,0.5348
sample_000512,FRB20201124_0038,FRB,FRB20201124,411.51,86.68,0.8847,86.68,0.8847
sample_000513,FRB20201124_0039,FRB,FRB20201124,411.51,6.16,0.5367,6.16,0.5367
sample_000514,FRB20201124_0040,FRB,FRB20201124,411.51,7.44,0.5348,7.44,0.5348
sample_000515,FRB20201124_0041,FRB,FRB20201124,411.51,37.82,0.3696,37.82,0.3696
sample_000516,FRB20201124_0042,FRB,FRB20201124,411.51,8.13,0.3047,8.13,0.3047
sample_000517,FRB20201124_0043,FRB,FRB20201124,411.51,55.58,0.8258,55.58,0.8258
sample_000518,FRB20201124_0044,FRB,FRB20201124,411.51,16.04,0.5348,16.04,0.5348
sample_000519,FRB20201124_0045,FRB,FRB20201124,411.51,12.71,0.5348,12.71,0.5348
sample_000520,FRB20201124_0046,FRB,FRB20201124,411.51,118.67,0.5348,118.67,0.5348
sample_000521,FRB20201124_0047,FRB,FRB20201124,411.51,5.0,0.5348,5.0,0.5348
sample_000522,FRB20201124_0048,FRB,FRB20201124,411.51,372.91,0.5348,372.91,0.5348
sample_000523,FRB20201124_0049,FRB,FRB20201124,411.51,5.98,0.5348,5.98,0.5348
sample_000524,FRB20201124_0050,FRB,FRB20201124,411.51,402.09,0.5367,402.09,0.5367
sample_000525,FRB20201124_0051,FRB,FRB20201124,411.51,6.0,0.5367,6.0,0.5367
sample_000526,FRB20201124_0052,FRB,FRB20201124,411.51,91.22,0.5367,91.22,0.5367
sample_000527,FRB20201124_0053,FRB,FRB20201124,411.51,15.44,0.5367,15.44,0.5367
sample_000528,FRB20201124_0054,FRB,FRB20201124,411.51,4.42,0.5348,4.42,0.5348
sample_000529,FRB20201124_0055,FRB,FRB20201124,411.51,236.21,0.5367,236.21,0.5367
sample_000530,FRB20201124_0056,FRB,FRB20201124,411.51,398.92,0.5367,398.92,0.5367
sample_000531,FRB20201124_0057,FRB,FRB20201124,411.51,221.39,0.5348,221.39,0.5348
sample_000532,FRB20201124_0058,FRB,FRB20201124,411.51,38.91,0.5348,38.91,0.5348
sample_000533,FRB20201124_0059,FRB,FRB20201124,411.51,221.62,0.5407,221.62,0.5407
sample_000534,FRB20201124_0060,FRB,FRB20201124,412.55,12.18,0.5328,12.18,0.5328
sample_000535,FRB20201124_0061,FRB,FRB20201124,412.55,10.21,0.5328,10.21,0.5328
sample_000536,FRB20201124_0062,FRB,FRB20201124,412.55,33.6,0.5328,33.6,0.5328
sample_000537,FRB20201124_0063,FRB,FRB20201124,412.55,6.01,0.5328,6.01,0.5328
sample_000538,FRB20201124_0064,FRB,FRB20201124,412.55,89.76,0.5328,89.76,0.5328
sample_000539,FRB20201124_0065,FRB,FRB20201124,412.55,21.82,0.5328,21.82,0.5328
sample_000540,FRB20201124_0066,FRB,FRB20201124,412.55,64.44,0.5328,64.44,0.5328
sample_000541,FRB20201124_0067,FRB,FRB20201124,412.55,174.32,0.5348,174.32,0.5348
sample_000542,FRB20201124_0068,FRB,FRB20201124,412.55,22.73,0.5328,22.73,0.5328
sample_000543,FRB20201124_0069,FRB,FRB20201124,412.55,33.75,0.5328,33.75,0.5328
sample_000544,FRB20201124_0070,FRB,FRB20201124,412.55,22.2,0.5328,22.2,0.5328
sample_000545,FRB20201124_0071,FRB,FRB20201124,412.55,46.85,0.5328,46.85,0.5328
sample_000546,FRB20201124_0072,FRB,FRB20201124,412.55,25.04,0.5348,25.04,0.5348
sample_000547,FRB20201124_0073,FRB,FRB20201124,412.55,8.38,0.8356,8.38,0.8356
sample_000548,FRB20201124_0074,FRB,FRB20201124,412.55,117.83,0.4896,117.83,0.4896
sample_000549,FRB20201124_0075,FRB,FRB20201124,412.55,105.02,0.5328,105.02,0.5328
sample_000550,FRB20201124_0076,FRB,FRB20201124,412.55,17.14,0.5328,17.14,0.5328
sample_000551,FRB20201124_0077,FRB,FRB20201124,412.55,8.3,0.5348,8.3,0.5348
sample_000552,FRB20201124_0078,FRB,FRB20201124,412.55,21.09,0.5328,21.09,0.5328
sample_000553,FRB20201124_0079,FRB,FRB20201124,412.55,13.7,0.5328,13.7,0.5328
sample_000554,FRB20201124_0080,FRB,FRB20201124,412.55,11.32,0.5348,11.32,0.5348
sample_000555,FRB20201124_0081,FRB,FRB20201124,412.55,90.71,0.5328,90.71,0.5328
sample_000556,FRB20201124_0082,FRB,FRB20201124,412.55,39.44,0.5328,39.44,0.5328
sample_000557,FRB20201124_0083,FRB,FRB20201124,412.55,35.65,0.5328,35.65,0.5328
sample_000558,FRB20201124_0084,FRB,FRB20201124,412.55,24.31,0.5328,24.31,0.5328
sample_000559,FRB20201124_0085,FRB,FRB20201124,412.55,98.65,0.5328,98.65,0.5328
sample_000560,FRB20201124_0086,FRB,FRB20201124,412.55,51.54,0.5328,51.54,0.5328
sample_000561,FRB20201124_0087,FRB,FRB20201124,412.55,36.54,0.4266,36.54,0.4266
sample_000562,FRB20201124_0088,FRB,FRB20201124,412.55,93.46,0.5328,93.46,0.5328
sample_000563,FRB20201124_0089,FRB,FRB20201124,412.55,120.19,0.5328,120.19,0.5328
sample_000564,FRB20201124_0090,FRB,FRB20201124,412.55,71.72,0.5328,71.72,0.5328
sample_000565,FRB20201124_0091,FRB,FRB20201124,412.55,6.13,0.4286,6.13,0.4286
sample_000566,FRB20201124_0092,FRB,FRB20201124,412.55,5.85,0.5328,5.85,0.5328
sample_000567,FRB20201124_0093,FRB,FRB20201124,412.55,13.26,0.5328,13.26,0.5328
sample_000568,FRB20201124_0094,FRB,FRB20201124,412.55,132.62,0.5328,132.62,0.5328
